msoa21cd,all_lgb_plus,gay_or_lesbian,bisexual_and_other,all_diff_id,trans_mw,other_id,different_unanswered
E02000242,0.015771753,0.005316321,0.010455432,0.01009922,0.001948972,0.000354359,0.007795889
E02000243,0.015603036,0.006184987,0.009418049,0.006746311,0.002529866,0.000140548,0.004075896
E02000244,0.018791106,0.00986533,0.008925775,0.00861259,0.002348888,0.000313185,0.005950517
E02000245,0.020461095,0.007348703,0.013112392,0.011093502,0.004322144,0.000144071,0.006627287
E02000246,0.017790132,0.00514246,0.012647672,0.013203614,0.005003475,0.000833912,0.007366227
E02000247,0.020934536,0.007633588,0.013300949,0.00751532,0.002659267,0.000462481,0.004393572
E02000248,0.027027027,0.01383914,0.013187887,0.006838163,0.002442201,0.000814067,0.003581895
E02000249,0.01736267,0.006136806,0.011225864,0.015865888,0.00913037,0.000449035,0.006286484
E02000250,0.028017655,0.014968336,0.013049318,0.007482732,0.004221028,0.000959325,0.002302379
E02000251,0.013694507,0.002558315,0.011136192,0.014597442,0.00331076,0.000451467,0.010835214
E02000252,0.065194532,0.026861677,0.038332855,0.013575526,0.005066922,0.002294455,0.006214149
E02000253,0.020507084,0.007829978,0.012677107,0.009818543,0.003231419,0.001118568,0.005468556
E02000254,0.023885775,0.002135041,0.021750734,0.019615693,0.006672004,0.00013344,0.012810248
E02000255,0.030091417,0.015363128,0.014728288,0.006475368,0.002031488,0.000888776,0.003555104
E02000256,0.045121481,0.022239362,0.022882119,0.0042411,0.001542218,0.000771109,0.001927773
E02000258,0.03519329,0.017687819,0.017505471,0.010393873,0.004194019,0.000729395,0.00547046
E02000259,0.031195505,0.013950785,0.01724472,0.006587871,0.002712653,0.000775044,0.003100174
E02000260,0.02476385,0.003574164,0.021189686,0.015832482,0.006256384,0.000383044,0.009193054
E02000261,0.049262508,0.029017642,0.020244867,0.010122433,0.003374144,0.000771233,0.005977056
E02000262,0.050947867,0.027119537,0.023828331,0.010396105,0.004474273,0.001184366,0.004737465
E02000263,0.031806029,0.002489168,0.029316862,0.017977321,0.007098737,0.000460957,0.010417627
E02000264,0.046103183,0.027991218,0.018111965,0.008093278,0.002743484,0.002194787,0.003155007
E02000265,0.047561378,0.023120114,0.024441263,0.010681643,0.004625041,0.002642881,0.003413721
E02000266,0.023920201,0.008715863,0.015204339,0.011328428,0.003969791,0.000290473,0.007068164
E02000267,0.036298489,0.019473438,0.01682505,0.008568313,0.001090513,0.001402088,0.006075713
E02000268,0.043350006,0.023214057,0.02013595,0.00564392,0.001539251,0.001282709,0.00282196
E02000269,0.043827722,0.025781013,0.018046709,0.005307856,0.001819836,0.001061571,0.002426448
E02000270,0.062556314,0.038228858,0.024327456,0.011455786,0.003732784,0.001673317,0.006049685
E02000271,0.049494412,0.032286677,0.017207734,0.004967181,0.002128792,0.000886997,0.001951393
E02000272,0.035061544,0.021447221,0.013614323,0.00391791,0.00130597,0.000932836,0.001679104
E02000275,0.025304878,0.004268293,0.021036585,0.014629686,0.004876562,0.000304785,0.009448339
E02000276,0.047952785,0.026189598,0.021763187,0.008857723,0.002398967,0.001660823,0.004797933
E02000277,0.019032652,0.005762179,0.013270473,0.013794308,0.002793784,0.000523834,0.010476689
E02000278,0.018034391,0.006151265,0.011883126,0.010623427,0.002935421,0.000419346,0.007268661
E02000279,0.021143046,0.009470323,0.011672723,0.014976324,0.007267922,0.0005506,0.007157802
E02000280,0.021968235,0.010538815,0.011429419,0.00667854,0.003858712,0.000445236,0.002374592
E02000281,0.021417921,0.008946726,0.012471195,0.009354664,0.00393167,0.000677874,0.004745119
E02000282,0.017734953,0.004608295,0.013126659,0.013547486,0.004329609,0.000837989,0.008379888
E02000283,0.019239649,0.006310605,0.012929044,0.012925065,0.005847053,0.000615479,0.006462533
E02000284,0.030951692,0.017500723,0.013450969,0.00491827,0.00260379,0.00028931,0.00202517
E02000285,0.017488372,0.009488372,0.008,0.003163379,0.001116487,0.000186081,0.001860811
E02000286,0.020780322,0.011309019,0.009471304,0.00508762,0.00254381,0.000423968,0.002119842
E02000287,0.013291244,0.005648779,0.007642465,0.007642466,0.002159827,0.000332281,0.005150357
E02000288,0.01960371,0.004321248,0.015282462,0.01464854,0.006217726,0.000526926,0.007903889
E02000289,0.014267423,0.005670386,0.008597036,0.003474127,0.00146279,0.000731395,0.001279941
E02000290,0.025957973,0.011948908,0.014009064,0.019793814,0.007835052,0.000206186,0.011752577
E02000291,0.028340584,0.01379739,0.014543194,0.009572352,0.003356539,0.000621581,0.005594232
E02000292,0.019571785,0.00801261,0.011559175,0.009192383,0.003020355,0.001181878,0.004990151
E02000293,0.016848554,0.008041356,0.008807199,0.002871913,0.001723148,0.000574383,0.000574383
E02000294,0.017802503,0.005563282,0.012239221,0.015303283,0.006399555,0,0.008903728
E02000295,0.021177836,0.011169133,0.010008703,0.005368543,0.001741149,0.000725479,0.002901915
E02000296,0.027821459,0.013668804,0.014152655,0.010644732,0.003024072,0.000725777,0.006894883
E02000297,0.016302238,0.008539268,0.007762971,0.003880481,0.001034795,0.000129349,0.002716337
E02000298,0.019178903,0.009889122,0.009289781,0.004194757,0.002397004,0.000299625,0.001498127
E02000299,0.020308123,0.005182073,0.01512605,0.015544041,0.004621202,0.000280073,0.010642767
E02000300,0.020474777,0.00652819,0.013946588,0.016320475,0.005341246,0.000593472,0.010385757
